brand,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,graphic_card_gb,weight,warranty,Touchscreen,msoffice,Price,Number of Ratings,Number of Reviews,rating
Lenovo,Intel,Core i3,11th,4 GB,DDR4,512 GB,0 GB,64-bit Windows,0 GB,Casual,1 year,Yes,Yes,57999,10,2,Bad Rating
ASUS,Intel,Core i5,10th,8 GB,DDR4,512 GB,0 GB,64-bit Windows,0 GB,ThinNlight,1 year,No,Yes,47990,1625,152,Good Rating
ASUS,Intel,Core i5,11th,8 GB,DDR4,512 GB,0 GB,32-bit Windows,6 GB,Casual,1 year,No,No,84990,5,0,Good Rating
MSI,Intel,Core i3,10th,4 GB,DDR4,256 GB,0 GB,64-bit Windows,0 GB,ThinNlight,No warranty,No,No,38990,53,11,Good Rating
APPLE,M1,M1,10th,8 GB,DDR4,512 GB,0 GB,64-bit Mac,0 GB,Casual,1 year,No,No,125990,399,45,Good Rating
ASUS,Intel,Core i7,8th,16 GB,DDR3,512 GB,0 GB,64-bit Windows,0 GB,ThinNlight,1 year,No,No,99990,30,7,Good Rating
HP,Intel,Core i7,11th,16 GB,DDR4,1024 GB,0 GB,64-bit Windows,4 GB,Casual,No warranty,No,No,121990,0,0,Bad Rating
Lenovo,Intel,Core i3,11th,8 GB,DDR4,512 GB,0 GB,64-bit Windows,0 GB,ThinNlight,1 year,Yes,No,54990,245,34,Good Rating
HP,Intel,Core i5,10th,8 GB,LPDDR4,0 GB,512 GB,32-bit DOS,4 GB,Casual,No warranty,No,No,102551,0,0,Bad Rating
DELL,Intel,Core i5,11th,8 GB,DDR4,256 GB,1024 GB,64-bit Windows,2 GB,Casual,1 year,No,No,69900,0,0,Bad Rating
DELL,AMD,Ryzen 3,Not Available,8 GB,DDR4,0 GB,1024 GB,64-bit Windows,0 GB,ThinNlight,No warranty,No,No,37390,38,5,Good Rating
DELL,AMD,Ryzen 3,Not Available,8 GB,DDR4,256 GB,0 GB,64-bit Windows,0 GB,ThinNlight,No warranty,No,No,40590,0,0,Bad Rating
ASUS,Intel,Core i3,10th,4 GB,DDR4,256 GB,1024 GB,64-bit Windows,0 GB,Casual,No warranty,No,No,40990,0,0,Bad Rating
DELL,AMD,Ryzen 3,Not Available,8 GB,DDR4,256 GB,0 GB,64-bit Windows,0 GB,ThinNlight,1 year,No,No,39990,7,0,Good Rating
DELL,Intel,Core i3,11th,8 GB,DDR4,256 GB,0 GB,64-bit Windows,0 GB,ThinNlight,1 year,No,Yes,41990,10,5,Bad Rating
ASUS,AMD,Ryzen 7,Not Available,4 GB,DDR5,512 GB,0 GB,32-bit Windows,4 GB,Casual,1 year,No,No,111990,0,0,Bad Rating
