brand,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,graphic_card_gb,warranty,Price,rating,Number of Ratings,Number of Reviews,Touchscreen_Yes,msoffice_Yes,weight_Casual,weight_Gaming,weight_ThinNlight
1,1,6,5,0,5,0,1,4,0,0,45990,2,0,0,0,0,1,0,0
1,1,2,4,1,4,0,1,0,2,0,106167,3,1881,241,0,0,1,0,0
1,1,0,5,0,1,0,1,4,0,0,22990,2,0,0,0,0,1,0,0
5,1,1,5,0,1,2,0,4,0,1,44990,3,42,4,0,1,1,0,0
4,0,9,5,2,1,3,0,4,1,1,79990,2,23,6,0,1,1,0,0
0,2,5,4,1,1,3,0,3,0,1,101990,3,809,91,0,0,1,0,0
4,1,2,5,1,1,3,0,4,0,1,63990,3,3,0,0,1,0,0,1
1,1,6,5,0,1,0,2,4,0,0,30780,2,0,0,0,0,1,0,0
4,1,1,5,1,1,3,0,4,0,1,43970,3,571,56,0,1,0,0,1
5,1,0,5,0,1,0,2,1,0,0,29999,2,19,1,0,0,1,0,0
3,1,1,5,0,1,2,0,1,0,0,43900,2,0,0,0,0,1,0,0
1,1,1,4,0,1,3,0,4,0,1,42990,3,1869,234,0,1,0,0,1
3,1,2,5,1,1,3,0,1,1,0,73519,2,0,0,0,0,1,0,0
5,0,9,5,0,1,4,0,4,0,1,77988,2,0,0,0,1,1,0,0
4,1,2,5,2,1,3,0,4,0,1,67990,3,108,6,0,1,0,0,1
1,1,2,4,1,1,3,0,4,1,0,86990,2,0,0,0,0,1,0,0
0,2,5,4,1,1,3,0,3,0,1,131990,3,399,45,0,0,1,0,0
1,1,2,4,1,1,2,2,1,1,0,58990,4,1,1,0,0,1,0,0
1,1,0,5,0,4,0,1,1,0,0,23490,3,632,92,0,0,1,0,0
7,0,8,4,0,1,0,1,1,3,0,93700,3,259,47,0,0,1,0,0
0,2,5,4,2,1,4,0,3,0,1,169990,3,640,70,0,0,1,0,0
3,1,1,4,1,1,3,0,4,0,1,41990,2,29,7,0,1,0,0,1
0,2,5,4,2,1,3,0,3,0,1,149990,3,640,70,0,0,1,0,0
5,1,3,5,2,1,3,0,4,0,2,84990,3,13,2,1,1,1,0,0
4,0,8,5,0,1,3,0,4,0,1,54590,3,349,69,0,1,0,0,1
1,1,2,5,1,1,4,0,4,2,0,75990,3,368,48,0,0,0,1,0
7,1,2,2,1,0,3,0,4,0,1,64990,2,4,1,0,0,0,0,1
1,0,9,5,2,1,3,0,4,0,1,79990,2,0,0,0,0,1,0,0
4,1,1,5,0,1,3,0,4,0,1,47990,3,1605,215,0,1,0,0,1
1,1,3,2,2,1,2,2,4,0,0,98912,2,0,0,0,0,0,0,1
3,1,2,5,1,1,3,0,4,0,1,71090,3,44,6,0,1,0,0,1
3,1,1,4,1,1,2,0,4,0,1,39490,3,1267,171,0,1,0,0,1
5,0,9,5,0,1,3,0,4,0,1,78990,3,6,0,1,0,1,0,0
7,1,3,5,2,1,3,2,4,2,1,92990,3,214,37,0,0,1,0,0
5,1,2,5,1,1,3,0,4,0,1,87990,3,28,6,1,1,1,0,0
1,0,7,5,0,1,2,0,4,0,1,33690,3,170,26,0,0,0,0,1
1,1,1,5,0,1,2,0,4,0,1,36990,3,70,9,0,0,0,0,1
